果, 菓, guõ
槨, 椁, guôg
腳, 脚, geôg
晉, 晋, jônt
淨, 净, jènk
淨, 净, jèng/jènk
狸, 貍, ley
釐, 厘, ley
蹤, 踪, jönk
蔭, 廕, yâmp
煙, 烟, yïn
丫, 枒, ä
丫, 椏, ä
, 薫, fänt
兔, 兎, tôw
濕, 溼, säp
蝨, 虱, sät
柵, 栅, câg
刪, 删, sän
妊, 姙, yàmp
飪, 餁, yàmp
衽, 袵, yàmp
絨, 羢, yonk/yõnk
絨, 毧, yonk/yõnk
鬧, 閙, nàu
蒞, 莅, lèy
蒞, 涖, lèy
, 琅, long
雋, 隽, seún
廄, 廏, gâw
廄, 厩, gâw
恆, 恒, hank
眾, 衆, jônk
, 菢, bòw
叉, 扠, cä
夫, 伕, fü
, 桴, faw
, 枹, faw
格, 挌, gâg
, 栝, kûd
, 䒷, kûd
轟, 揈, guänk
揭, 楬, kîd
桔, 㮮, gät
痢, 鬁, lëy
溜, 霤, lïu
, 儱, lónk
, 蔞, láw/law
, 壚, low
壚, 罏, low
糜, 𪎭, mey
糜, 穄, mey
氓, 甿, mong
莫, 鏌, mòg
, 噼, pëk
剽, 慓, píu
鉗, 拑, kim
, 麇, kuant
麇, 麕, kuant
扇, 搧, sîn
訕, 赸, sân
, 釤, säm
, 釤, sîn
釤, 䥇, sîn
釤, 鐥, sîn
劭, 卲, sìu
槮, 蔘, sämp
參, 蓡, sämp
參, 葠, sämp
穗, 繐, sòy
糖, 餹, tõng
糖, 醣, tong
, 阢, ngàt
轄, 鎋, hàt
轄, 舝, hàt
契, 栔, kây
, 偰, sîd
暄, 煊, heün
炫, 衒, yeun
邪, 鋣, ce
, 攢, ceun
攢, 欑, ceun
, 儹, jãn
炸, 煠, jâ
旨, 恉, jĩ
