蝎, 蠍
紲, 絏
鞋, 鞵
胸, 胷
修, 脩
綉, 繡
銹, 鏽
勖, 勗
恤, 賉、卹、䘏
婿, 壻
喧, 諠
楦, 楥
萱, 萲、蕿、蘐、藼
璇, 璿
靴, 鞾
徇, 狥
勛, 勳
塤, 壎
巡, 廵
鴉, 鵶
贋, 贗
雁, 鴈
驗, 騐
胭, 臙
燕, 鷰
鼹, 鼴
腌, 醃
咽, 嚥
檐, 簷
岩, 巖、巗、嵒
焰, 燄
艷, 艶、豓、豔
宴, 醼
揚, 颺敭
肴, 餚
耀, 燿
咬, 齩
窑, 窰、窯
夭, 殀
野, 埜、壄
夜, 亱
燁, 爗、嘩
翳, 瞖
异, 異
咿, 吚
移, 迻
以, 㕥㠯
因, 囙
殷, 慇
飮, 㱃
淫, 滛、婬
喑, 瘖
堙, 陻
陰, 隂
吟, 唫
姻, 婣
罌, 甖
穎, 頴
映, 暎
鶯, 鸎
咏, 詠
恿, 慂、惥
雍, 雝
游, 遊
寓, 庽
欲, 慾
逾, 踰
愈, 癒、瘉
鬱, 鬰、欝
冤, 寃、𡨘
猿, 猨、蝯
雜, 襍
匝, 帀
灾, 災、烖、菑
再, 𠕅、𠕂
咱, 喒、𠴰、偺、倃
贊, 賛讚
簪, 簮
暫, 蹔
葬, 𦵏、塟
唣, 唕
糟, 蹧
噪, 譟
皂, 皁
扎, 紥、紮、剳、劄
札, 剳、劄
閘, 牐
榨, 搾
咤, 吒
寨, 砦
齋, 亝
盞, 琖、醆
氈, 氊
嶄, 嶃
獐, 麞
照, 炤
棹, 櫂
浙, 淛
輒, 輙
謫, 讁
針, 鍼
鴆, 酖
砧, 碪
珍, 珎
偵, 遉
卮, 巵
帙, 袟、袠
址, 阯
置, 寘
跖, 蹠
栀, 梔
衹, 衹、秖
紙, 帋
稚, 穉、稺
侄, 姪、妷
冢, 塚
咒, 呪
帚, 箒
煮, 煑
箸, 筯
佇, 竚
磚, 甎、塼
撰, 譔
專, 耑
饌, 籑
妝, 粧
斫, 斲、斵、斮
桌, 槕
姊, 姉
資, 貲
眦, 眥
偬, 傯
鬃, 騌、騣、鬉
棕, 椶
卒, 䘚
纂, 篹
最, 㝡、冣
罪, 辠
笮, 筰
